run_id,backend,shape,mode,threads,runner_exit_code,parquet_present,setup_parquet_present,summary_present,status,attempted_ops,successful_ops,failed_exception_ops,failed_slow_ops,success_rate,top_failure_category,top_failure_reason
exp3_file_copy_bushy_256t_branch_tpcc,file_copy,bushy,branch,256,0,1,0,1,PARTIAL,256,0,256,0,0.0,FAILURE_BACKEND_STATE_CONFLICT,"Backend state conflict: Error executing sql query: CREATE DATABASE main TEMPLATE microbench STRATEGY = FILE_COPY; None; source database ""microbench"" is being accessed by other users"
exp3_file_copy_bushy_512t_branch_tpcc,file_copy,bushy,branch,512,0,1,0,1,PARTIAL,512,0,512,0,0.0,FAILURE_BACKEND_STATE_CONFLICT,"Backend state conflict: Error executing sql query: CREATE DATABASE main TEMPLATE microbench STRATEGY = FILE_COPY; None; source database ""microbench"" is being accessed by other users"
exp3_file_copy_bushy_1024t_branch_tpcc,file_copy,bushy,branch,1024,0,1,0,1,PARTIAL,1024,0,1024,0,0.0,FAILURE_BACKEND_STATE_CONFLICT,"Backend state conflict: Error executing sql query: CREATE DATABASE main TEMPLATE microbench STRATEGY = FILE_COPY; None; source database ""microbench"" is being accessed by other users"
exp3_file_copy_bushy_1t_crud_tpcc,file_copy,bushy,crud,1,0,1,1,1,SUCCESS,81519,81519,0,0,1.0,,
exp3_file_copy_bushy_2t_crud_tpcc,file_copy,bushy,crud,2,0,1,1,1,SUCCESS,166822,166822,0,0,1.0,,
exp3_file_copy_bushy_4t_crud_tpcc,file_copy,bushy,crud,4,0,1,1,1,SUCCESS,210640,210640,0,0,1.0,,
exp3_file_copy_bushy_8t_crud_tpcc,file_copy,bushy,crud,8,0,1,1,1,SUCCESS,209515,209515,0,0,1.0,,
exp3_file_copy_bushy_16t_crud_tpcc,file_copy,bushy,crud,16,0,1,1,1,SUCCESS,210395,210395,0,0,1.0,,
exp3_file_copy_bushy_32t_crud_tpcc,file_copy,bushy,crud,32,0,1,1,1,SUCCESS,203955,203955,0,0,1.0,,
exp3_file_copy_bushy_64t_crud_tpcc,file_copy,bushy,crud,64,0,1,1,1,PARTIAL,194739,194738,0,1,0.999994864921767,FAILURE_TIMEOUT,Slow operation: 0.124954s > 0.100000s
exp3_file_copy_bushy_128t_crud_tpcc,file_copy,bushy,crud,128,0,1,1,1,PARTIAL,195587,195525,0,62,0.9996830055167266,FAILURE_TIMEOUT,Slow operation: 0.100347s > 0.100000s
exp3_file_copy_bushy_256t_crud_tpcc,file_copy,bushy,crud,256,0,1,1,1,PARTIAL,135521,132780,0,2741,0.9797743523144015,FAILURE_TIMEOUT,Slow operation: 0.122456s > 0.100000s
exp3_file_copy_bushy_512t_crud_tpcc,file_copy,bushy,crud,512,0,1,1,1,PARTIAL,847,428,0,419,0.5053128689492326,FAILURE_TIMEOUT,Slow operation: 3.054716s > 0.100000s
exp3_file_copy_bushy_1024t_crud_tpcc,file_copy,bushy,crud,1024,0,1,1,1,PARTIAL,3189,2201,0,988,0.6901850109752273,FAILURE_TIMEOUT,Slow operation: 0.573577s > 0.100000s
exp3_file_copy_fan_out_1t_branch_tpcc,file_copy,fan_out,branch,1,0,1,0,1,PARTIAL,1440,1426,0,14,0.9902777777777778,FAILURE_TIMEOUT,Slow operation: 0.141375s > 0.100000s
exp3_file_copy_fan_out_2t_branch_tpcc,file_copy,fan_out,branch,2,0,1,0,1,PARTIAL,2,0,2,0,0.0,FAILURE_BACKEND_STATE_CONFLICT,"Backend state conflict: Error executing sql query: CREATE DATABASE main TEMPLATE microbench STRATEGY = FILE_COPY; None; source database ""microbench"" is being accessed by other users"
exp3_file_copy_fan_out_4t_branch_tpcc,file_copy,fan_out,branch,4,0,1,0,1,PARTIAL,4,0,4,0,0.0,FAILURE_BACKEND_STATE_CONFLICT,"Backend state conflict: Error executing sql query: CREATE DATABASE main TEMPLATE microbench STRATEGY = FILE_COPY; None; source database ""microbench"" is being accessed by other users"
exp3_file_copy_fan_out_8t_branch_tpcc,file_copy,fan_out,branch,8,0,1,0,1,PARTIAL,8,0,8,0,0.0,FAILURE_BACKEND_STATE_CONFLICT,"Backend state conflict: Error executing sql query: CREATE DATABASE main TEMPLATE microbench STRATEGY = FILE_COPY; None; source database ""microbench"" is being accessed by other users"
exp3_file_copy_fan_out_16t_branch_tpcc,file_copy,fan_out,branch,16,0,1,0,1,PARTIAL,16,0,16,0,0.0,FAILURE_BACKEND_STATE_CONFLICT,"Backend state conflict: Error executing sql query: CREATE DATABASE main TEMPLATE microbench STRATEGY = FILE_COPY; None; source database ""microbench"" is being accessed by other users"
